KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
1,,1,1,,
11,1,1,1,,
12,1,1,1,,
121,12,1,1,,
122,12,1,1,,
1221,122,1,1,,
12211,1221,1,1,,
122111,12211,1,1,,
122112,12211,1,1,,
1221121,122112,1,1,Case 3,2262000
12212,1221,1,1,,
12213,1221,1,1,,
12214,1221,1,1,,
122141,12214,1,1,,
122142,12214,1,1,,
1222,122,1,1,,
1223,122,1,1,,
12231,1223,1,1,,
122311,12231,1,1,,
122312,12231,1,1,,
12232,1223,1,1,,
1224,122,1,1,,
12241,1224,1,1,,
122411,12241,1,1,Case 1,121981
122412,12241,1,1,Case 1,121984
12242,1224,1,1,,
122421,12242,1,1,,
122422,12242,1,1,Case 1,0
123,12,1,1,,
1231,123,1,1,,
12311,1231,1,1,,
123111,12311,1,1,,
123112,12311,1,1,,
12312,1231,1,1,,
123121,12312,2,2,,
124,12,1,1,,
13,1,1,1,,
14,1,1,1,,
15,1,1,1,,
16,1,1,1,,
161,16,1,1,,
1611,161,1,1,,
16111,1611,1,1,,
161111,16111,1,1,,
161112,16111,1,1,,
1611121,161112,1,1,,
161113,16111,1,1,,
1611131,161113,1,1,,
1611132,161113,1,1,,
16112,1611,1,1,,
161121,16112,1,1,,
161122,16112,1,1,,
1611221,161122,1,1,,
1611222,161122,1,1,,
1611223,161122,1,1,Case 1,221990
16113,1611,1,1,,
161131,16113,1,1,,
1611311,161131,1,1,,
1611312,161131,1,1,,
161132,16113,2,2,,
1612,161,1,1,,
16121,1612,1,1,,
161211,16121,1,1,,
1612111,161211,1,1,,
161212,16121,1,1,,
1612121,161212,1,1,,
161213,16121,1,1,,
1612131,161213,1,1,,
1612132,161213,1,1,,
16122,1612,1,1,,
1613,161,1,1,,
16131,1613,1,1,,
16132,1613,2,2,,
16133,1613,2,2,,
161331,16133,1,1,,
1613311,161331,1,1,,
1613312,161331,1,1,,
161332,16133,1,1,,
1613321,161332,1,1,,
1613322,161332,1,1,,
161333,16133,2,2,,
1613331,161333,1,1,,
16134,1613,2,2,,
161341,16134,1,1,,
1613411,161341,1,1,,
1613412,161341,1,1,,
1613413,161341,1,1,,
161342,16134,1,1,,
1613421,161342,1,1,,
1613422,161342,1,1,,
1613423,161342,1,1,,
161343,16134,1,1,,
1613431,161343,1,1,,
1613432,161343,1,1,,
1614,161,1,1,,
16141,1614,1,1,,
16142,1614,2,2,,
161421,16142,1,1,,
161422,16142,1,1,,
16143,1614,2,2,,
161431,16143,1,1,,
1614311,161431,1,1,,
1614312,161431,1,1,,
161432,16143,1,1,,
16144,1614,2,2,,
161441,16144,1,1,,
161442,16144,1,1,,
1615,161,1,1,,
16151,1615,1,1,,
161511,16151,1,1,,
161512,16151,1,1,,
1615121,161512,1,1,,
1615122,161512,1,1,,
161513,16151,1,1,,
16152,1615,1,1,,
161521,16152,1,1,,
1615211,161521,1,1,,
1616,161,1,1,,
16161,1616,1,1,,
1617,161,1,1,,
16171,1617,1,1,,
161711,16171,1,1,,
161712,16171,1,1,,
16172,1617,2,2,,
161721,16172,1,1,,
1617211,161721,0,1,,
1617212,161721,1,2,,
161722,16172,0,1,,
16173,1617,2,2,,
161731,16173,1,1,,
1617311,161731,0,1,,
161732,16173,2,1,,
161733,16173,2,2,,
161734,16173,2,2,,
1618,161,1,1,,
16181,1618,1,1,,
161811,16181,1,1,,
161812,16181,1,1,,
16182,1618,1,1,,
161821,16182,1,1,,
1618211,161821,1,1,,
161822,16182,1,1,,
161823,16182,1,1,,
1618231,161823,1,1,,
1619,161,1,1,,
16191,1619,1,1,,
16192,1619,1,1,,
161921,16192,1,1,,
161922,16192,1,1,,
161923,16192,1,1,,
161924,16192,1,1,,
16193,1619,1,1,,
161931,16193,1,1,,
161932,16193,1,1,,
161A,161,1,1,,
161A1,161A,1,1,,
161A11,161A1,1,1,,
161A12,161A1,1,1,,
161A2,161A,1,1,,
161A21,161A2,1,1,,
161A22,161A2,1,1,,
161A3,161A,1,1,,
161A4,161A,1,1,,
161A5,161A,1,1,,
161A51,161A5,1,1,,
161A52,161A5,2,2,,
162,16,1,1,,
1621,162,1,1,,
16211,1621,1,1,,
16212,1621,1,1,,
162121,16212,1,1,,
162122,16212,1,1,,
162123,16212,1,1,,
1622,162,1,1,,
16221,1622,1,1,,
16222,1622,1,1,,
162221,16222,1,1,,
162222,16222,1,1,,
16223,1622,1,1,,
162231,16223,1,1,,
162232,16223,1,1,,
16224,1622,1,1,,
1623,162,1,1,,
16231,1623,1,1,,
163,16,1,1,,
1631,163,1,1,,
16311,1631,1,1,,
163111,16311,1,1,,
163112,16311,1,1,,
16312,1631,1,1,,
163121,16312,1,1,,
163122,16312,1,1,,
16313,1631,1,1,,
163131,16313,2,2,,
163132,16313,2,2,,
16314,1631,1,1,,
163141,16314,1,1,,
163142,16314,1,1,,
16315,1631,1,1,,
163151,16315,1,1,,
1632,163,1,1,,
1633,163,1,1,,
16331,1633,1,1,,
163311,16331,1,1,,
163312,16331,1,1,,
163313,16331,1,1,,
16332,1633,1,1,,
163321,16332,1,1,,
163322,16332,1,1,,
163323,16332,1,1,,
164,16,1,1,,
1641,164,1,1,,
16411,1641,1,1,,
164111,16411,1,1,,
1641111,164111,1,1,,
164112,16411,1,1,,
1642,164,1,1,,
16421,1642,1,1,,
16422,1642,1,1,,
16423,1642,1,1,,
164231,16423,1,1,,
164232,16423,1,1,,
1643,164,1,1,,
16431,1643,1,1,,
164311,16431,1,1,,
1643111,164311,1,1,,
164312,16431,1,1,,
1643121,164312,1,1,,
164313,16431,1,1,,
