KBN,parent_id,marriage_number,relationship_number,adopted,adopted_day
"1","","1","1","",""
"11","1","","1","",""
"12","1","1","1","",""
"121","12","","1","",""
"122","12","1","1","",""
"1221","122","1","1","",""
"12211","1221","2","1","",""
"122111","12211","1","1","",""
"1221111","122111","","1","",""
"1221112","122111","","1","",""
"122112","12211","2","1","",""
"1221121","122112","","1","C2","October 26, 2000"
"12212","1221","2","1","",""
"12213","1221","","1","",""
"12214","1221","1","1","",""
"122141","12214","1","1","",""
"1221411","122141","","1","",""
"1221412","122141","","1","",""
"122142","12214","","1","",""
"1222","122","1","1","",""
"1223","122","1","1","",""
"12231","1223","1","1","",""
"122311","12231","","1","",""
"122312","12231","1","1","",""
"1223121","122312","","1","",""
"1223122","122312","","1","",""
"12232","1223","3","1","",""
"122321","12232","1","2","",""
"1223211","122321","","1","",""
"122322","12232","","2","",""
"1224","122","1","1","",""
"12241","1224","1","1","",""
"122411","12241","1","1","A1","March 12, 1981"
"1224111","122411","","1","",""
"122412","12241","","1","A1","January 12, 1984"
"12242","1224","1","1","",""
"122421","12242","1","1","",""
"1224211","122421","","1","",""
"122422","12242","1","1","A1",""
"123","12","1","1","",""
"1231","123","1","1","",""
"12311","1231","1","1","",""
"123111","12311","1","1","",""
"1231111","123111","","1","",""
"123112","12311","","1","",""
"12312","1231","2","1","",""
"123121","12312","","2","",""
"124","12","","1","",""
"13","1","","1","",""
"14","1","0","1","",""
"15","1","0","1","",""
"16","1","1","1","",""
"161","16","1","1","",""
"1611","161","1","1","",""
"16111","1611","1","1","",""
"161111","16111","1","1","",""
"161112","16111","1","1","",""
"1611121","161112","","1","",""
"161113","16111","2","1","",""
"1611131","161113","","1","",""
"1611132","161113","","1","",""
"16112","1611","1","1","",""
"161121","16112","","1","",""
"161122","16112","1","1","",""
"1611221","161122","1","1","",""
"16112211","1611221","","1","",""
"1611222","161122","0","1","",""
"16112221","1611222","","1","",""
"1611223","161122","","1","A1","June 22, 1990"
"16113","1611","2","1","",""
"161131","16113","2","1","",""
"1611311","161131","1","1","",""
